,Member_number,Date,itemDescription,year,month,day,day_of_week,ItemId,Value,Value Discount,ItensAvail.,Age,Lifetime Cross Sell Itens,GMV Lifetime,Orders,Time since Last Order,Vendors Seen Last 4 Weeks
7037,3051,2015-09-02,frozenmeals,2015,9,2,2,833,"9,00","1,00",12,43,1,156,3,59,11
7038,1705,2015-07-20,whitebread,2015,7,20,0,8504,"12,00","2,00",8,34,17,88,13,82,3
7039,4714,2015-08-30,pastry,2015,8,30,6,1952,"12,00","1,00",3,51,15,217,9,64,4
7040,1327,2015-08-06,bottledbeer,2015,8,6,3,4817,"5,00","0,00",6,59,9,76,13,7,14
7041,4719,2015-09-26,tropicalfruit,2015,9,26,5,1376,"9,00","2,00",15,47,13,199,14,59,11
7042,3185,2015-02-03,sausage,2015,2,3,1,9945,"5,00","0,00",14,58,10,54,24,52,12
7043,3621,2015-05-03,soda,2015,5,3,6,9166,"8,00","1,00",13,26,14,69,17,37,10
7044,3308,2015-07-17,rolls/buns,2015,7,17,4,6555,"17,00","1,00",11,58,10,207,18,68,10
7045,1915,2015-07-08,UHT-milk,2015,7,8,2,5706,"5,00","1,00",12,19,10,230,18,59,5
7046,2753,2015-08-09,nuts/prunes,2015,8,9,6,4778,"18,00","2,00",4,21,6,183,14,60,5
7047,2792,2015-10-24,cannedbeer,2015,10,24,5,4344,"3,00","0,00",8,42,5,120,21,70,15
7048,1723,2015-08-12,tropicalfruit,2015,8,12,2,1376,"9,00","2,00",15,42,14,140,11,18,13
7049,4398,2015-08-11,oil,2015,8,11,1,6374,"7,00","0,00",7,58,3,188,10,63,12
7050,4667,2015-08-25,rolls/buns,2015,8,25,1,6555,"17,00","1,00",11,36,18,239,2,36,7
7051,2691,2015-05-02,citrusfruit,2015,5,2,5,9978,"12,00","0,00",13,44,1,226,7,72,12
7052,1636,2015-05-12,berries,2015,5,12,1,168,"18,00","0,00",10,32,8,226,7,12,16
7053,2681,2015-02-05,beef,2015,2,5,3,3178,"7,00","2,00",9,54,16,186,8,81,1
7054,3854,2015-03-19,citrusfruit,2015,3,19,3,9978,"12,00","0,00",13,55,11,67,16,54,1
7055,2571,2015-07-17,frankfurter,2015,7,17,4,9589,"15,00","2,00",13,62,11,241,6,66,7
7056,3789,2015-12-10,wholemilk,2015,12,10,3,5497,"4,00","2,00",9,43,9,37,15,67,6
7057,4119,2015-04-15,beef,2015,4,15,2,3178,"7,00","2,00",9,27,2,203,21,46,1
7058,3099,2015-07-18,pipfruit,2015,7,18,5,4936,"17,00","1,00",11,29,8,213,12,87,2
7059,1213,2015-07-02,domesticeggs,2015,7,2,3,104,"6,00","0,00",3,26,6,48,3,77,15
7060,2294,2015-08-31,rootvegetables,2015,8,31,0,7481,"10,00","0,00",15,37,1,143,20,51,11
7061,2149,2015-05-23,softener,2015,5,23,5,9330,"16,00","2,00",5,44,4,42,16,63,9
7062,4019,2015-08-28,wholemilk,2015,8,28,4,5497,"4,00","2,00",9,25,6,135,13,91,13
7063,4167,2015-06-09,frankfurter,2015,6,9,1,9589,"15,00","2,00",13,41,17,122,6,35,14
7064,2885,2015-11-19,chicken,2015,11,19,3,5090,"14,00","1,00",8,38,15,116,8,33,3
7065,4706,2015-11-23,sausage,2015,11,23,0,9945,"5,00","0,00",14,54,18,123,14,18,16
7066,3786,2015-11-05,curd,2015,11,5,3,1528,"17,00","0,00",5,22,14,146,6,28,13
7067,2019,2015-02-18,frankfurter,2015,2,18,2,9589,"15,00","2,00",13,40,16,69,2,68,13
7068,4675,2015-10-31,pipfruit,2015,10,31,5,4936,"17,00","1,00",11,49,8,81,8,88,1
7069,4042,2015-04-30,yogurt,2015,4,30,3,9399,"10,00","1,00",6,25,11,156,12,11,4
7070,2102,2015-02-14,rolls/buns,2015,2,14,5,6555,"17,00","1,00",11,54,1,149,5,50,3
7071,2240,2015-01-12,chicken,2015,1,12,0,5090,"14,00","1,00",8,48,3,170,23,68,2
7072,2151,2015-07-16,beef,2015,7,16,3,3178,"7,00","2,00",9,27,15,154,18,64,7
7073,3878,2015-07-24,citrusfruit,2015,7,24,4,9978,"12,00","0,00",13,58,4,17,19,87,8
7074,4235,2015-09-25,beef,2015,9,25,4,3178,"7,00","2,00",9,34,5,162,10,22,9
7075,4817,2015-12-20,rolls/buns,2015,12,20,6,6555,"17,00","1,00",11,21,1,71,24,28,7
7076,1992,2015-08-28,pastry,2015,8,28,4,1952,"12,00","1,00",3,28,5,152,18,54,10
7077,3407,2015-03-25,cannedbeer,2015,3,25,2,4344,"3,00","0,00",8,59,11,130,20,68,3
7078,3668,2015-10-22,wholemilk,2015,10,22,3,5497,"4,00","2,00",9,31,6,43,11,87,12
7079,3500,2015-07-21,pipfruit,2015,7,21,1,4936,"17,00","1,00",11,57,17,206,6,71,7
7080,1874,2015-06-15,citrusfruit,2015,6,15,0,9978,"12,00","0,00",13,42,9,155,19,90,11
7081,1343,2015-01-11,othervegetables,2015,1,11,6,2738,"15,00","0,00",12,24,16,113,4,71,5
7082,3234,2015-08-16,citrusfruit,2015,8,16,6,9978,"12,00","0,00",13,19,15,241,4,81,16
7083,1430,2015-10-27,beef,2015,10,27,1,3178,"7,00","2,00",9,18,12,239,15,3,14
7084,3772,2015-09-27,meat,2015,9,27,6,7898,"11,00","0,00",10,49,3,79,12,25,14
7085,2981,2015-10-03,UHT-milk,2015,10,3,5,5706,"5,00","1,00",12,28,16,188,21,30,15
7086,1287,2015-01-28,frankfurter,2015,1,28,2,9589,"15,00","2,00",13,38,2,152,18,68,1
7087,1500,2015-08-03,sausage,2015,8,3,0,9945,"5,00","0,00",14,33,4,153,2,32,3
7088,2193,2015-04-14,bottledbeer,2015,4,14,1,4817,"5,00","0,00",6,39,15,68,11,22,13
7089,1997,2015-07-21,soda,2015,7,21,1,9166,"8,00","1,00",13,40,3,166,7,9,16
7090,4546,2015-03-09,tropicalfruit,2015,3,9,0,1376,"9,00","2,00",15,41,3,206,1,1,5
7091,4736,2015-07-21,othervegetables,2015,7,21,1,2738,"15,00","0,00",12,33,16,96,7,80,9
7092,1959,2015-03-30,hamburgermeat,2015,3,30,0,2853,"5,00","2,00",11,53,17,184,7,10,12
7093,1974,2015-03-05,fish,2015,3,5,3,4366,"7,00","0,00",10,20,16,143,20,4,15
7094,2421,2015-02-09,frankfurter,2015,2,9,0,9589,"15,00","2,00",13,39,13,240,2,8,12
7095,1513,2015-03-08,yogurt,2015,3,8,6,9399,"10,00","1,00",6,26,18,59,11,7,16
7096,1905,2015-07-07,tropicalfruit,2015,7,7,1,1376,"9,00","2,00",15,40,4,248,18,24,15
7097,2810,2015-08-09,meat,2015,8,9,6,7898,"11,00","0,00",10,44,15,23,14,7,6
7098,2867,2015-12-11,bottledwater,2015,12,11,4,1237,"12,00","0,00",7,20,5,197,5,83,9
7099,3962,2015-09-18,hamburgermeat,2015,9,18,4,2853,"5,00","2,00",11,51,3,254,14,31,16
7100,1088,2015-11-30,meat,2015,11,30,0,7898,"11,00","0,00",10,41,14,57,20,21,2
7101,4976,2015-07-17,frankfurter,2015,7,17,4,9589,"15,00","2,00",13,42,16,218,2,48,14
7102,4056,2015-12-06,chicken,2015,12,6,6,5090,"14,00","1,00",8,31,12,129,23,8,2
7103,3611,2015-02-13,chicken,2015,2,13,4,5090,"14,00","1,00",8,27,14,192,23,31,6
7104,1420,2015-01-14,saltysnack,2015,1,14,2,8797,"17,00","2,00",4,25,12,95,23,50,11
7105,4286,2015-08-03,wholemilk,2015,8,3,0,5497,"4,00","2,00",9,57,9,128,2,71,14
7106,4918,2015-01-27,rolls/buns,2015,1,27,1,6555,"17,00","1,00",11,23,13,130,2,16,7
7107,4783,2015-10-22,beef,2015,10,22,3,3178,"7,00","2,00",9,23,6,218,21,59,4
7108,3709,2015-10-26,citrusfruit,2015,10,26,0,9978,"12,00","0,00",13,59,16,88,21,39,15
7109,4289,2015-08-10,chicken,2015,8,10,0,5090,"14,00","1,00",8,58,15,131,8,62,2
7110,1559,2015-03-10,citrusfruit,2015,3,10,1,9978,"12,00","0,00",13,60,16,30,2,48,11
7111,2900,2015-11-04,bottledwater,2015,11,4,2,1237,"12,00","0,00",7,20,7,42,24,64,4
7112,1905,2015-02-21,sausage,2015,2,21,5,9945,"5,00","0,00",14,40,4,248,18,24,15
7113,3527,2015-09-29,pipfruit,2015,9,29,1,4936,"17,00","1,00",11,22,3,20,1,30,8
7114,1495,2015-09-01,frankfurter,2015,9,1,1,9589,"15,00","2,00",13,41,13,122,5,33,3
7115,3558,2015-03-04,ham,2015,3,4,2,1524,"13,00","2,00",3,45,13,126,25,89,4
7116,3128,2015-04-20,butter,2015,4,20,0,1941,"18,00","1,00",13,29,4,63,2,74,16
7117,1863,2015-04-08,pork,2015,4,8,2,6549,"3,00","2,00",11,46,7,71,7,23,14
7118,3841,2015-07-19,pork,2015,7,19,6,6549,"3,00","2,00",11,25,10,127,23,45,11
7119,3903,2015-06-10,citrusfruit,2015,6,10,2,9978,"12,00","0,00",13,56,9,103,18,42,12
7120,2658,2015-10-16,cannedbeer,2015,10,16,4,4344,"3,00","0,00",8,42,8,139,22,0,9
7121,4272,2015-06-06,berries,2015,6,6,5,168,"18,00","0,00",10,45,8,116,21,16,3
7122,1120,2015-09-26,condensedmilk,2015,9,26,5,3690,"5,00","2,00",13,62,9,86,8,61,10
7123,2676,2015-08-15,chicken,2015,8,15,5,5090,"14,00","1,00",8,52,10,30,10,74,12
7124,1697,2015-05-21,rolls/buns,2015,5,21,3,6555,"17,00","1,00",11,57,16,50,14,17,16
7125,2507,2015-08-25,pork,2015,8,25,1,6549,"3,00","2,00",11,30,2,215,14,79,9
7126,4620,2015-11-03,wholemilk,2015,11,3,1,5497,"4,00","2,00",9,32,16,46,18,6,7
7127,3365,2015-01-02,rootvegetables,2015,1,2,4,7481,"10,00","0,00",15,47,17,41,21,70,12
7128,2978,2015-05-06,chicken,2015,5,6,2,5090,"14,00","1,00",8,49,12,111,19,40,15
7129,2910,2015-07-28,rootvegetables,2015,7,28,1,7481,"10,00","0,00",15,51,7,169,14,75,12
7130,1061,2015-05-09,tropicalfruit,2015,5,9,5,1376,"9,00","2,00",15,18,10,211,6,16,12
7131,3276,2015-03-04,rootvegetables,2015,3,4,2,7481,"10,00","0,00",15,24,11,63,15,60,5
7132,1326,2015-06-19,chewinggum,2015,6,19,4,6781,"18,00","0,00",15,57,13,171,14,52,1
7133,3023,2015-07-28,rootvegetables,2015,7,28,1,7481,"10,00","0,00",15,31,9,115,5,85,1
7134,2185,2015-11-10,chicken,2015,11,10,1,5090,"14,00","1,00",8,38,18,171,12,28,10
7135,3552,2015-06-16,cannedbeer,2015,6,16,1,4344,"3,00","0,00",8,37,16,162,4,88,7
7136,1967,2015-01-20,wholemilk,2015,1,20,1,5497,"4,00","2,00",9,58,4,152,14,18,3
7137,4708,2015-03-20,citrusfruit,2015,3,20,4,9978,"12,00","0,00",13,51,2,252,4,35,1
7138,2874,2015-02-15,bottledbeer,2015,2,15,6,4817,"5,00","0,00",6,32,7,179,4,56,13
7139,4177,2015-04-13,wholemilk,2015,4,13,0,5497,"4,00","2,00",9,38,15,252,8,70,4
7140,1663,2015-07-02,onions,2015,7,2,3,4002,"17,00","2,00",7,40,7,19,8,75,16
7141,2632,2015-02-03,sausage,2015,2,3,1,9945,"5,00","0,00",14,56,7,179,18,33,13
7142,1377,2015-03-14,othervegetables,2015,3,14,5,2738,"15,00","0,00",12,37,17,108,24,62,7
7143,4162,2015-12-22,bottledbeer,2015,12,22,1,4817,"5,00","0,00",6,24,8,243,16,47,2
7144,2270,2015-01-07,wholemilk,2015,1,7,2,5497,"4,00","2,00",9,35,2,204,6,2,5
7145,4829,2015-03-11,yogurt,2015,3,11,2,9399,"10,00","1,00",6,49,17,203,24,63,3
7146,3811,2015-04-14,sausage,2015,4,14,1,9945,"5,00","0,00",14,38,17,145,11,49,6
7147,4766,2015-09-29,specialtychocolate,2015,9,29,1,2822,"17,00","1,00",6,27,18,25,16,22,12
7148,2436,2015-12-04,zwieback,2015,12,4,4,9026,"3,00","2,00",12,52,2,205,2,56,6
7149,3860,2015-05-05,frozenvegetables,2015,5,5,1,8312,"17,00","0,00",4,58,17,140,24,10,9
7150,4875,2015-12-05,frankfurter,2015,12,5,5,9589,"15,00","2,00",13,61,5,117,15,45,11
7151,1587,2015-01-07,wholemilk,2015,1,7,2,5497,"4,00","2,00",9,18,13,62,7,12,7
7152,4038,2015-08-07,frankfurter,2015,8,7,4,9589,"15,00","2,00",13,60,8,144,16,21,12
7153,4750,2015-09-21,pork,2015,9,21,0,6549,"3,00","2,00",11,42,7,222,17,28,4
7154,1199,2015-10-12,cannedvegetables,2015,10,12,0,4130,"8,00","1,00",14,31,5,181,3,15,16
7155,1603,2015-09-30,chicken,2015,9,30,2,5090,"14,00","1,00",8,23,14,156,19,69,4
7156,3111,2015-01-31,pipfruit,2015,1,31,5,4936,"17,00","1,00",11,49,1,117,11,74,5
7157,3894,2015-12-13,sausage,2015,12,13,6,9945,"5,00","0,00",14,18,3,134,1,40,2
7158,1456,2015-09-18,wholemilk,2015,9,18,4,5497,"4,00","2,00",9,21,11,249,14,21,10
7159,2022,2015-04-03,pork,2015,4,3,4,6549,"3,00","2,00",11,25,16,116,12,78,10
7160,2505,2015-11-30,chicken,2015,11,30,0,5090,"14,00","1,00",8,18,10,253,15,90,12
7161,4851,2015-12-20,coffee,2015,12,20,6,5541,"8,00","1,00",14,44,13,42,9,84,9
7162,4293,2015-04-08,sausage,2015,4,8,2,9945,"5,00","0,00",14,56,8,177,15,35,14
7163,2775,2015-06-11,sausage,2015,6,11,3,9945,"5,00","0,00",14,60,1,148,3,55,6
7164,3693,2015-02-18,bottledbeer,2015,2,18,2,4817,"5,00","0,00",6,57,5,81,21,60,5
7165,1202,2015-07-22,curdcheese,2015,7,22,2,4340,"2,00","2,00",3,29,2,62,19,58,14
7166,3699,2015-08-23,frankfurter,2015,8,23,6,9589,"15,00","2,00",13,36,8,145,25,57,3
7167,4152,2015-04-15,sausage,2015,4,15,2,9945,"5,00","0,00",14,22,9,93,20,9,16
7168,4155,2015-01-26,soda,2015,1,26,0,9166,"8,00","1,00",13,43,6,80,18,19,12
7169,4010,2015-12-29,rolls/buns,2015,12,29,1,6555,"17,00","1,00",11,20,8,237,25,77,16
7170,4389,2015-10-20,tropicalfruit,2015,10,20,1,1376,"9,00","2,00",15,31,12,86,4,35,15
7171,3746,2015-08-17,butter,2015,8,17,0,1941,"18,00","1,00",13,21,4,92,25,6,11
7172,2560,2015-05-17,frankfurter,2015,5,17,6,9589,"15,00","2,00",13,61,9,217,23,88,11
7173,1503,2015-07-25,finishedproducts,2015,7,25,5,615,"10,00","2,00",9,56,5,194,14,7,3
7174,2555,2015-12-23,liverloaf,2015,12,23,2,4731,"4,00","0,00",4,49,5,252,18,50,4
7175,3645,2015-12-12,frankfurter,2015,12,12,5,9589,"15,00","2,00",13,52,2,202,3,3,3
7176,3886,2015-11-09,buttermilk,2015,11,9,0,250,"9,00","2,00",8,35,14,163,17,14,13
7177,2932,2015-03-20,wholemilk,2015,3,20,4,5497,"4,00","2,00",9,55,1,117,2,79,9
7178,1711,2015-06-18,wholemilk,2015,6,18,3,5497,"4,00","2,00",9,51,16,213,10,67,5
7179,4291,2015-08-12,rootvegetables,2015,8,12,2,7481,"10,00","0,00",15,60,18,223,23,77,8
7180,1143,2015-04-25,wholemilk,2015,4,25,5,5497,"4,00","2,00",9,50,5,55,13,62,16
7181,4564,2015-08-07,sausage,2015,8,7,4,9945,"5,00","0,00",14,40,17,38,15,85,11
7182,3337,2015-05-14,waffles,2015,5,14,3,4176,"10,00","2,00",6,55,13,223,7,20,12
7183,4931,2015-04-05,citrusfruit,2015,4,5,6,9978,"12,00","0,00",13,25,1,152,24,58,10
7184,2623,2015-10-10,wholemilk,2015,10,10,5,5497,"4,00","2,00",9,53,17,248,16,49,15
7185,4581,2015-03-04,pork,2015,3,4,2,6549,"3,00","2,00",11,25,1,217,1,89,16
7186,2635,2015-11-06,berries,2015,11,6,4,168,"18,00","0,00",10,48,1,112,14,65,7
7187,1095,2015-10-30,bottledwater,2015,10,30,4,1237,"12,00","0,00",7,36,3,99,11,72,4
7188,2990,2015-05-23,chocolate,2015,5,23,5,2937,"8,00","2,00",6,46,6,248,4,73,9
7189,2426,2015-05-06,fruit/vegetablejuice,2015,5,6,2,5361,"9,00","2,00",15,55,6,24,2,84,10
7190,4555,2015-07-11,wholemilk,2015,7,11,5,5497,"4,00","2,00",9,56,2,193,23,92,4
7191,3635,2015-04-09,chocolatemarshmallow,2015,4,9,3,4034,"3,00","2,00",5,45,14,52,22,45,6
7192,3058,2015-05-18,chicken,2015,5,18,0,5090,"14,00","1,00",8,49,18,48,15,66,2
7193,4391,2015-03-26,hygienearticles,2015,3,26,3,7796,"17,00","2,00",4,41,11,104,9,19,2
7194,1306,2015-06-23,pork,2015,6,23,1,6549,"3,00","2,00",11,38,9,243,21,8,5
7195,1024,2015-10-08,rootvegetables,2015,10,8,3,7481,"10,00","0,00",15,27,3,124,12,49,15
7196,1295,2015-07-23,chicken,2015,7,23,3,5090,"14,00","1,00",8,46,6,211,17,29,11
7197,1661,2015-01-06,rootvegetables,2015,1,6,1,7481,"10,00","0,00",15,52,14,240,8,15,15
7198,4591,2015-05-15,pipfruit,2015,5,15,4,4936,"17,00","1,00",11,62,14,80,21,64,10
7199,3169,2015-06-14,pipfruit,2015,6,14,6,4936,"17,00","1,00",11,44,12,78,25,37,9
7200,3915,2015-05-21,bottledbeer,2015,5,21,3,4817,"5,00","0,00",6,56,7,158,3,67,1
7201,1127,2015-01-14,rolls/buns,2015,1,14,2,6555,"17,00","1,00",11,48,13,114,5,10,7
7202,4828,2015-08-08,wholemilk,2015,8,8,5,5497,"4,00","2,00",9,27,2,21,6,77,2
7203,3683,2015-10-06,candy,2015,10,6,1,2991,"6,00","2,00",7,47,17,28,15,59,10
7204,1971,2015-09-18,curd,2015,9,18,4,1528,"17,00","0,00",5,24,18,112,4,73,14
7205,3014,2015-11-11,sausage,2015,11,11,2,9945,"5,00","0,00",14,39,15,165,16,82,4
7206,3779,2015-09-15,frankfurter,2015,9,15,1,9589,"15,00","2,00",13,45,17,96,17,49,13
7207,2489,2015-04-05,herbs,2015,4,5,6,8792,"8,00","0,00",4,37,2,146,5,90,6
7208,3564,2015-06-27,grapes,2015,6,27,5,7532,"16,00","2,00",11,39,8,117,15,51,13
7209,4092,2015-09-30,sausage,2015,9,30,2,9945,"5,00","0,00",14,29,12,23,9,25,15
7210,3221,2015-01-13,bottledbeer,2015,1,13,1,4817,"5,00","0,00",6,59,8,137,23,21,4
7211,1279,2015-06-09,yogurt,2015,6,9,1,9399,"10,00","1,00",6,52,7,252,15,3,11
7212,2581,2015-08-22,cannedbeer,2015,8,22,5,4344,"3,00","0,00",8,42,16,232,14,60,6
7213,2295,2015-02-25,nuts/prunes,2015,2,25,2,4778,"18,00","2,00",4,55,8,30,21,24,7
7214,4760,2015-02-22,grapes,2015,2,22,6,7532,"16,00","2,00",11,44,3,136,19,84,14
7215,3649,2015-01-16,grapes,2015,1,16,4,7532,"16,00","2,00",11,26,6,186,7,86,2
7216,1075,2015-11-19,citrusfruit,2015,11,19,3,9978,"12,00","0,00",13,32,10,50,15,26,3
7217,3987,2015-08-19,wholemilk,2015,8,19,2,5497,"4,00","2,00",9,30,18,17,20,90,5
7218,4106,2015-08-25,rolls/buns,2015,8,25,1,6555,"17,00","1,00",11,43,4,21,17,65,13
7219,4338,2015-06-24,rolls/buns,2015,6,24,2,6555,"17,00","1,00",11,40,5,240,22,33,4
7220,4166,2015-06-11,cannedbeer,2015,6,11,3,4344,"3,00","0,00",8,48,12,183,24,25,10
7221,1211,2015-10-03,butter,2015,10,3,5,1941,"18,00","1,00",13,33,8,159,2,11,2
7222,3954,2015-01-21,beef,2015,1,21,2,3178,"7,00","2,00",9,52,4,132,10,51,14
7223,3928,2015-07-18,soda,2015,7,18,5,9166,"8,00","1,00",13,53,8,211,19,80,2
7224,3827,2015-09-30,sausage,2015,9,30,2,9945,"5,00","0,00",14,51,11,90,22,8,13
7225,4699,2015-08-02,sausage,2015,8,2,6,9945,"5,00","0,00",14,47,14,218,18,1,4
7226,4747,2015-08-06,creamcheese,2015,8,6,3,1084,"15,00","0,00",11,50,17,126,22,12,12
7227,3028,2015-09-06,longlifebakeryproduct,2015,9,6,6,2633,"12,00","1,00",13,31,16,223,11,24,10
7228,2851,2015-03-16,othervegetables,2015,3,16,0,2738,"15,00","0,00",12,28,18,61,14,65,12
7229,4417,2015-02-25,cannedbeer,2015,2,25,2,4344,"3,00","0,00",8,44,14,245,19,11,8
7230,3822,2015-07-03,bottledwater,2015,7,3,4,1237,"12,00","0,00",7,57,16,150,15,91,2
7231,2288,2015-05-31,sausage,2015,5,31,6,9945,"5,00","0,00",14,62,13,166,10,63,14
7232,2184,2015-06-30,pork,2015,6,30,1,6549,"3,00","2,00",11,34,12,55,9,88,2
7233,1345,2015-07-21,grapes,2015,7,21,1,7532,"16,00","2,00",11,45,10,153,9,3,2
7234,4441,2015-09-11,bottledbeer,2015,9,11,4,4817,"5,00","0,00",6,58,7,107,22,28,15
7235,2540,2015-02-16,instantcoffee,2015,2,16,0,4841,"17,00","1,00",4,41,4,246,14,10,12
7236,1997,2015-06-06,berries,2015,6,6,5,168,"18,00","0,00",10,40,3,166,7,9,16
7237,2294,2015-07-26,citrusfruit,2015,7,26,6,9978,"12,00","0,00",13,37,1,143,20,51,11
7238,1523,2015-03-28,beef,2015,3,28,5,3178,"7,00","2,00",9,30,6,187,20,92,9
7239,3165,2015-08-18,yogurt,2015,8,18,1,9399,"10,00","1,00",6,23,13,43,24,3,3
7240,4831,2015-12-04,frozenmeals,2015,12,4,4,833,"9,00","1,00",12,42,12,148,15,21,14
7241,4073,2015-02-11,tropicalfruit,2015,2,11,2,1376,"9,00","2,00",15,26,17,109,4,38,9
7242,3661,2015-07-25,citrusfruit,2015,7,25,5,9978,"12,00","0,00",13,34,1,51,13,4,6
7243,2019,2015-09-10,saltysnack,2015,9,10,3,8797,"17,00","2,00",4,40,16,69,2,68,13
7244,1092,2015-05-16,soda,2015,5,16,5,9166,"8,00","1,00",13,61,9,189,18,26,4
7245,4078,2015-11-14,beef,2015,11,14,5,3178,"7,00","2,00",9,33,8,139,19,9,3
7246,4753,2015-06-21,citrusfruit,2015,6,21,6,9978,"12,00","0,00",13,20,1,81,22,61,16
7247,1279,2015-10-09,sausage,2015,10,9,4,9945,"5,00","0,00",14,52,7,252,15,3,11
7248,1012,2015-11-19,rootvegetables,2015,11,19,3,7481,"10,00","0,00",15,40,14,148,13,7,15
7249,2362,2015-11-23,frankfurter,2015,11,23,0,9589,"15,00","2,00",13,37,18,180,5,47,14
7250,2789,2015-06-02,curd,2015,6,2,1,1528,"17,00","0,00",5,54,11,142,15,83,8
7251,3229,2015-07-08,curd,2015,7,8,2,1528,"17,00","0,00",5,26,3,89,22,10,13
7252,1715,2015-03-05,wholemilk,2015,3,5,3,5497,"4,00","2,00",9,24,16,27,21,9,8
7253,4351,2015-01-16,wholemilk,2015,1,16,4,5497,"4,00","2,00",9,56,18,217,3,54,12
7254,4397,2015-06-27,onions,2015,6,27,5,4002,"17,00","2,00",7,41,15,143,3,29,10
7255,3653,2015-10-21,wholemilk,2015,10,21,2,5497,"4,00","2,00",9,23,13,126,25,23,9
7256,2730,2015-10-11,rootvegetables,2015,10,11,6,7481,"10,00","0,00",15,47,6,40,9,64,6
7257,4321,2015-10-27,pipfruit,2015,10,27,1,4936,"17,00","1,00",11,23,16,214,19,36,4
7258,1086,2015-11-17,beef,2015,11,17,1,3178,"7,00","2,00",9,58,10,63,17,3,11
7259,1708,2015-12-28,citrusfruit,2015,12,28,0,9978,"12,00","0,00",13,22,4,248,22,44,16
7260,4293,2015-08-24,sausage,2015,8,24,0,9945,"5,00","0,00",14,56,8,177,15,35,14
7261,4524,2015-04-22,icecream,2015,4,22,2,3061,"2,00","1,00",3,38,12,240,3,74,14
7262,3783,2015-08-03,icecream,2015,8,3,0,3061,"2,00","1,00",3,57,17,190,9,68,14
7263,1460,2015-06-24,tropicalfruit,2015,6,24,2,1376,"9,00","2,00",15,49,17,81,23,31,7
7264,2960,2015-12-19,tropicalfruit,2015,12,19,5,1376,"9,00","2,00",15,52,3,30,25,89,10
7265,3442,2015-12-10,sparklingwine,2015,12,10,3,2604,"15,00","2,00",9,52,12,68,25,6,6
7266,4059,2015-07-05,sausage,2015,7,5,6,9945,"5,00","0,00",14,58,15,155,20,46,6
7267,1822,2015-03-03,tropicalfruit,2015,3,3,1,1376,"9,00","2,00",15,44,13,25,18,79,3
7268,1584,2015-10-07,longlifebakeryproduct,2015,10,7,2,2633,"12,00","1,00",13,21,2,159,9,22,13
7269,1624,2015-04-02,wholemilk,2015,4,2,3,5497,"4,00","2,00",9,51,9,233,14,76,11
7270,4877,2015-06-11,ham,2015,6,11,3,1524,"13,00","2,00",3,20,8,185,1,74,3
7271,1567,2015-11-04,frankfurter,2015,11,4,2,9589,"15,00","2,00",13,60,13,216,18,86,12
7272,2018,2015-04-01,rolls/buns,2015,4,1,2,6555,"17,00","1,00",11,57,3,121,22,59,6
7273,1182,2015-01-09,hamburgermeat,2015,1,9,4,2853,"5,00","2,00",11,60,9,212,14,53,11
7274,3401,2015-02-08,condensedmilk,2015,2,8,6,3690,"5,00","2,00",13,32,4,223,3,17,1
7275,4547,2015-01-18,wholemilk,2015,1,18,6,5497,"4,00","2,00",9,29,12,253,10,47,6
7276,3547,2015-10-21,bottledbeer,2015,10,21,2,4817,"5,00","0,00",6,28,16,98,4,16,14
7277,4831,2015-06-04,sausage,2015,6,4,3,9945,"5,00","0,00",14,42,12,148,15,21,14
7278,2851,2015-01-01,whitebread,2015,1,1,3,8504,"12,00","2,00",8,28,18,61,14,65,12
7279,3072,2015-02-28,othervegetables,2015,2,28,5,2738,"15,00","0,00",12,30,16,63,3,84,10
7280,1398,2015-04-15,sausage,2015,4,15,2,9945,"5,00","0,00",14,52,3,92,25,81,14
7281,1779,2015-10-28,beef,2015,10,28,2,3178,"7,00","2,00",9,25,4,215,17,56,3
7282,1823,2015-11-27,berries,2015,11,27,4,168,"18,00","0,00",10,36,11,77,10,54,8
7283,3360,2015-11-14,beef,2015,11,14,5,3178,"7,00","2,00",9,37,16,93,16,43,4
7284,1565,2015-10-15,wholemilk,2015,10,15,3,5497,"4,00","2,00",9,40,3,97,8,84,6
7285,4321,2015-08-05,frankfurter,2015,8,5,2,9589,"15,00","2,00",13,23,16,214,19,36,4
7286,1293,2015-05-03,tropicalfruit,2015,5,3,6,1376,"9,00","2,00",15,50,3,56,6,13,14
7287,3331,2015-07-25,wholemilk,2015,7,25,5,5497,"4,00","2,00",9,36,13,188,22,10,2
7288,2408,2015-05-19,citrusfruit,2015,5,19,1,9978,"12,00","0,00",13,26,6,212,6,5,7
7289,2742,2015-10-10,dessert,2015,10,10,5,4713,"15,00","1,00",14,48,4,225,11,81,9
7290,3934,2015-01-05,wholemilk,2015,1,5,0,5497,"4,00","2,00",9,27,17,137,19,42,1
7291,4742,2015-06-22,pastry,2015,6,22,0,1952,"12,00","1,00",3,51,17,102,6,21,16
7292,4405,2015-07-22,curdcheese,2015,7,22,2,4340,"2,00","2,00",3,24,6,114,13,10,2
7293,3229,2015-03-25,othervegetables,2015,3,25,2,2738,"15,00","0,00",12,26,3,89,22,10,13
7294,2817,2015-12-22,malecosmetics,2015,12,22,1,6266,"5,00","1,00",7,51,6,212,9,34,1
7295,2741,2015-02-17,othervegetables,2015,2,17,1,2738,"15,00","0,00",12,20,2,96,22,21,15
